"","Security","Name","date","title","quarter"
"496","ROMSBME","Romsdal Sparebank",2020-07-29,"Romsdal Sparebank - Pressemelding delårsrapport 30.06.2020","Q2"
"497","SADG","Sandnes Sparebank",2020-02-13,"Et meget godt år for Sandnes Sparebank","Q4"
"498","SADG","Sandnes Sparebank",2020-05-13,"For 1. kvartal 2020 kan Sandnes Sparebank vise til en solid underliggende bankdrift selv om vi er inne i en svært krevende tid.","Q1"
"499","SADG","Sandnes Sparebank",2020-08-13,"Sandnes Sparebank styrker sin posisjon i et krevende marked","Q2"
"500","SAGA","Saga Pure ASA",2020-02-13,"Saga Tankers ASA: Q4 2019 financial results","Q4"
"501","SAGA","Saga Pure ASA",2020-05-14,"Saga Tankers ASA: Q1 2020 financial results","Q1"
"502","SAGA","Saga Pure ASA",2020-08-21,"Saga Tankers ASA: Q2 2020 financial results and upcoming dividend distribution of NOK 0.1 per share","Q2"
"503","SALM","SalMar ASA",2020-02-26,"SalMar - Resultat for fjerde kvartal 2019","Q4"
"504","SALM","SalMar ASA",2020-05-19,"SalMar - Results for the first quarter 2020","Q1"
"505","SALM","SalMar ASA",2020-08-27,"SalMar - Resultat for andre kvartal 2020","Q2"
"506","SALMON","Salmones Camanchaca S.A.",2020-02-28,"Salmones Camanchaca - Fourth quarter 2018 results","Q4"
"507","SALMON","Salmones Camanchaca S.A.",2020-04-29,"Salmones Camanchaca - Q1 2020 results","Q1"
"508","SALMON","Salmones Camanchaca S.A.",2020-08-20,"Salmones Camanchaca - Q2 2020 results","Q2"
"509","SATS","SATS ASA",2020-02-13,"SATS presents strong revenue growth and margin expansion in the fourth quarter","Q4"
"510","SATS","SATS ASA",2020-05-12,"SATS<U+0092> first quarter dominated by COVID-19 and rapid digital product development","Q1"
"511","SATS","SATS ASA",2020-07-16,"SATS reports negative COVID-19 revenue effect of NOK 520 million in the second quarter, but strong pick-up after reopening","Q2"
"512","SBANK","Sbanken ASA",2020-02-14,"Sbanken ASA: Tar markedsandeler innen fondssparing","Q4"
"513","SBANK","Sbanken ASA",2020-05-15,"Sbanken ASA: Well positioned in demanding market conditions","Q1"
"514","SBANK","Sbanken ASA",2020-07-15,"Sbanken ASA: Tar markedsandeler innen boliglån og fondssparing","Q2"
"515","SBO","Selvaag Bolig ASA",2020-02-12,"Selvaag Bolig ASA: full year and Q4 2019: record result and dividend","Q4"
"516","SBO","Selvaag Bolig ASA",2020-05-20,"Selvaag Bolig ASA: Q1 2020: God start på året","Q1"
"517","SBO","Selvaag Bolig ASA",2020-08-18,"Selvaag Bolig ASA: Q2 2020: good margins and high dividend","Q2"
"518","SBTE","Sparebanken Telemark",2020-02-06,"Solid årsresultat fra Sparebanken Telemark","Q4"
"519","SBTE","Sparebanken Telemark",2020-05-07,"Svekket resultat første kvartal påvirket av koronakrisen fra Sparebanken Telemark","Q1"
"520","SBTE","Sparebanken Telemark",2020-08-12,"Sterk vekst og solide tall til tross for koronapandemien fra Sparebanken Telemark for første halvår 2020","Q2"
"521","SBVG","SpareBank 1 BV",2020-02-07,"Tidenes beste resultat frå kjernevirksomheten","Q4"
"522","SBVG","SpareBank 1 BV",2020-05-14,"1.kvartal preget av koronakrisen","Q1"
"523","SBVG","SpareBank 1 BV",2020-08-12,"Interim report Q2-2020 - SpareBank 1 BV","Q2"
"524","SBX","SeaBird Exploration PLC",2020-02-28,"SeaBird Exploration: fourth quarter 2019 report","Q4"
"525","SBX","SeaBird Exploration PLC",2020-05-15,"SeaBird Exploration Plc: first quarter 2020 report","Q1"
"526","SBX","SeaBird Exploration PLC",2020-08-14,"SeaBird Exploration Plc: second quarter 2020 report","Q2"
"527","SCANA","Scana ASA",2020-02-28,"INCUS: INNTEKT OG RESULTAT VESENTLIG FORBEDRET I 2019","Q4"
"528","SCANA","Scana ASA",2020-05-08,"INCUS: STERK ORDREINNGANG OG BETYDELIGE GREP GJENNOMFØRT FOR Å BEGRENSE NEGATIV VIRKNING AV COVID-19","Q1"
"529","SCANA","Scana ASA",2020-08-21,"Rapport 1. halvår 2020: Ny strategi med spisset satsning mot de maritime bransjene.  God ordreinngang meg høy ordrereserve sikrer bra aktivitet","Q2"
"530","SCHA","Schibsted ASA",2020-02-13,"Schibsted ASA (SCHA/SCHB) - Interim Financial Statement Q4 2019","Q4"
"531","SCHA","Schibsted ASA",2020-05-06,"Schibsted ASA (SCHA/SCHB) - Interim Financial Statement Q1 2020","Q1"
"532","SCHA","Schibsted ASA",2020-07-17,"Schibsted ASA (SCHA/SCHB) - Interim Financial Statement Q2 2020","Q2"
"533","SDRL","Seadrill Limited",2020-02-27,"SDRL - Seadrill Limited Announces Fourth Quarter 2019 Results","Q4"
"534","SDRL","Seadrill Limited",2020-06-02,"Seadrill Limited (SDRL) - First Quarter 2020 Results","Q1"
"535","SDRL","Seadrill Limited",2020-08-25,"Seadrill Limited (SDRL) - Second Quarter 2020 Results","Q2"
"536","SDSD","S.D. Standard Drilling Plc",2020-02-13,"SDSD: FOURTH QUARTER 2019 FINANCIAL RESULTS","Q4"
"537","SDSD","S.D. Standard Drilling Plc",2020-05-14,"SDSD: FIRST QUARTER 2020 FINANCIAL RESULTS","Q1"
"538","SDSD","S.D. Standard Drilling Plc",2020-08-25,"SDSD: SECOND QUARTER 2020 FINANCIAL RESULTS","Q2"
"539","SHLF","Shelf Drilling, Ltd.",2020-03-02,"Shelf Drilling Reports Fourth Quarter 2019 Results","Q4"
"540","SHLF","Shelf Drilling, Ltd.",2020-05-13,"Shelf Drilling Reports First Quarter 2020 Results","Q1"
"541","SHLF","Shelf Drilling, Ltd.",2020-08-13,"Shelf Drilling Reports Second Quarter 2020 Results","Q2"
"542","SIKRIME","Sikri Holding AS",2020-09-10,"Interim report H1","Q2"
"543","SIOFF","Siem Offshore Inc.",2020-02-27,"Results for the Fourth Quarter 2019","Q4"
"544","SIOFF","Siem Offshore Inc.",2020-05-11,"Results for the First Quarter 2020","Q1"
"545","SIOFF","Siem Offshore Inc.",2020-08-27,"Result for the Second Quarter and First Half 2020","Q2"
"546","SKUE","Skue Sparebank",2020-02-13,"Delårsregnskap 4. kvartal 2019","Q4"
"547","SKUE","Skue Sparebank",2020-05-13,"Delårsregnskap 1. kvartal 2020","Q1"
"548","SKUE","Skue Sparebank",2020-08-13,"Delårsrapport 1. halvår 2020","Q2"
"549","SNI","Stolt-Nielsen Limited",2020-01-30,"Stolt-Nielsen Limited Reports Unaudited Results For the Fourth Quarter and Full Year of 2019","Q4"
"550","SNI","Stolt-Nielsen Limited",2020-04-16,"Stolt-Nielsen Limited Reports Unaudited Results For the First Quarter of 2020","Q1"
"551","SNI","Stolt-Nielsen Limited",2020-07-02,"Stolt-Nielsen Limited Reports Unaudited Results For the Second Quarter and First Half of 2020","Q2"
"552","SNOR","SpareBank 1 Nordvest",2020-02-13,"SNOR: Beste resultat i bankens 184-årige historie","Q4"
"553","SNOR","SpareBank 1 Nordvest",2020-05-15,"SNOR: Redusert resultat, men stabil bankdrift i en krevende tid","Q1"
"554","SNOR","SpareBank 1 Nordvest",2020-08-13,"SNOR: God resultatutvikling i en utfordrende tid","Q2"
"555","SOAG","SpareBank 1 Østfold Akershus",2020-02-06,"SOLID RENTENETTO OG TIDENES ÅRSRESULTAT","Q4"
"556","SOAG","SpareBank 1 Østfold Akershus",2020-05-15,"GOD UNDERLIGGENDE DRIFT OG GOD VEKST, RESULTAT PREGET AV KORONAKRISEN","Q1"
"557","SOAG","SpareBank 1 Østfold Akershus",2020-08-14,"STØ KURS I KRISETIDER - SOLID OG LØNNSOM","Q2"
"558","SOFF","Solstad Offshore ASA",2020-02-27,"Financial report for the 4[th] quarter 2019","Q4"
"559","SOFF","Solstad Offshore ASA",2020-05-27,"Financial report for the 1[st] quarter 2020","Q1"
"560","SOFF","Solstad Offshore ASA",2020-08-31,"Financial report for the 2nd quarter 2020","Q2"
"561","SOFTOXME","SoftOx Solutions AS",2020-03-31,"SoftOx Solutions AS - 4th. quarter report 2019","Q4"
"562","SOFTOXME","SoftOx Solutions AS",2020-06-30,"Report 1st quarter, 2020","Q1"
"563","SOFTOXME","SoftOx Solutions AS",2020-09-30,"SoftOx - Halvårsrapport 2020","Q2"
"564","SOGN","Sogn Sparebank",2020-02-14,"Sogn Sparebank - Delårsrapport 4. kvartal 2019","Q4"
"565","SOGN","Sogn Sparebank",2020-05-14,"Sogn Sparebank - Delårsrapport Q1-2020","Q1"
"566","SOGN","Sogn Sparebank",2020-08-14,"Sogn Sparebank - Delårsrapport Q2-2020","Q2"
"567","SOLON","Solon Eiendom ASA",2020-02-26,"Solon Eiendom ASA <U+0096> Sterke resultater i 2019","Q4"
"568","SOLON","Solon Eiendom ASA",2020-05-27,"Solon Eiendom ASA <U+0096> Resultat Q1 2020","Q1"
"569","SOLON","Solon Eiendom ASA",2020-08-26,"Solon Eiendom ASA <U+0096> Resultat Q2 2020","Q2"
"570","SOR","Sparebanken Sør",2020-02-06,"Regnskap 4. kvartal 2019","Q4"
"571","SOR","Sparebanken Sør",2020-05-07,"Regnskap 1. kvartal 2020","Q1"
"572","SOR","Sparebanken Sør",2020-08-14,"Regnskap 2. kvartal 2020","Q2"
"573","SPOG","Sparebanken Øst",2020-02-13,"Sparebanken Øst - foreløpig årsregnskap 2019 / regnskap 4. kvartal 2019","Q4"
"574","SPOG","Sparebanken Øst",2020-05-13,"Sparebanken Øst - regnskap 1. kvartal 2020","Q1"
"575","SPOG","Sparebanken Øst",2020-07-15,"Sparebanken Øst - regnskap 2. kvartal 2020","Q2"
"576","SPOL","SpareBank 1 Østlandet",2020-02-07,"Sterkt resultat, styrket bankdrift og god kundevekst","Q4"
"577","SPOL","SpareBank 1 Østlandet",2020-08-05,"Høy kundeaktivitet, sterk utlånsvekst og spisset kostnadsambisjon","Q2"
"578","SRBANK","SpareBank 1 SR-Bank ASA",2020-02-05,"SpareBank 1 SR-Bank ASA (SRBANK): A good annual result characterised by solid underlying operations, one-off income and a high level of activity","Q4"
"579","SRBANK","SpareBank 1 SR-Bank ASA",2020-05-07,"SpareBank 1 SR-Bank ASA (SRBANK): Good underlying operations and strengthened solidity, but results marked by impairments and reduced financial income","Q1"
"580","SRBANK","SpareBank 1 SR-Bank ASA",2020-08-06,"SpareBank 1 SR-Bank ASA (SRBANK); Et resultat preget av god drift, men høye nedskrivninger","Q2"
"581","SSG","Self Storage Group ASA",2020-02-12,"SSG: Fourth quarter 2019 results","Q4"
"582","SSG","Self Storage Group ASA",2020-05-12,"SSG: First quarter 2020 results","Q1"
"583","SSG","Self Storage Group ASA",2020-08-18,"SSG: Second quarter and first half year 2020 results","Q2"
"584","SSO","Scatec ASA",2020-01-24,"Fourth quarter 2019 - Continued strong growth and new contract awards","Q4"
"585","SSO","Scatec ASA",2020-05-08,"Scatec Solar ASA: Record high power production - robust operations in turbulent times","Q1"
"586","SSO","Scatec ASA",2020-07-17,"Scatec Solar ASA: Power production doubled - progressing large project opportunities","Q2"
"587","STB","Storebrand ASA",2020-02-12,"STOREBRAND ASA: 4. Kvartal 2019 - Konsernresultat på 1 026m kroner","Q4"
"588","STB","Storebrand ASA",2020-04-30,"STOREBRAND ASA: Results for the 1st Quarter 2020","Q1"
"589","STB","Storebrand ASA",2020-07-15,"STOREBRAND ASA: Results for the 2nd Quarter 2020","Q2"
"590","STORM","Storm Real Estate ASA",2020-02-28,"Storm Real Estate ASA - Interim Report H2 2019","Q4"
"591","STORM","Storm Real Estate ASA",2020-08-27,"Storm Real Estate ASA - Interim Report H1 2020","Q2"
"592","STRONG","StrongPoint ASA",2020-02-12,"StrongPoint ASA: Strategy update and fourth quarter financial results 2019","Q4"
"593","STRONG","StrongPoint ASA",2020-04-29,"StrongPoint ASA: Financial results for the first quarter of 2020","Q1"
"594","STRONG","StrongPoint ASA",2020-07-14,"StrongPoint ASA: Robust financial results for the second quarter of 2020","Q2"
"595","SUBC","Subsea 7 S.A.",2020-03-06,"Subsea 7 S.A. Annual Report 2019","Q4"
"596","SUBC","Subsea 7 S.A.",2020-07-29,"Subsea 7 S.A. Announces Second Quarter and Half Year 2020 Results","Q2"
"597","SUNSBME","Sunndal Sparebank",2020-02-27,"Delårsrapport 4. kvartal 2019","Q4"
"598","SUNSBME","Sunndal Sparebank",2020-05-15,"Styrket kjernedrift og soliditet, men svakere resultatutvikling i Q1 2020","Q1"
"599","SUNSBME","Sunndal Sparebank",2020-08-13,"Sterk inntjening i andre kvartal, gir rekordresultat i første halvår 2020","Q2"
"600","SUSBME","Surnadal Sparebank",2020-02-18,"SURNADAL SPAREBANK <U+0096> DELÅRSRAPPORT 4. KVARTAL 2019","Q4"
"601","SUSBME","Surnadal Sparebank",2020-05-14,"Delårsrapport 1. kvartal 2020 - Surnadal Sparebank","Q1"
"602","SUSBME","Surnadal Sparebank",2020-08-14,"DELÅRSRAPPORT 2. KVARTAL 2020 <U+0096> SURNADAL SPAREBANK","Q2"
"603","SVEG","Sparebanken Vest",2020-01-30,"Sterkt Q4-resultat avslutter et rekordår preget av offensive strategiske grep","Q4"
"604","SVEG","Sparebanken Vest",2020-05-07,"Robust results despite market unrest *  Correction","Q1"
"605","SVEG","Sparebanken Vest",2020-08-13,"Good return on equity and solid capital adequacy","Q2"
"606","TEAM","Team Tankers International Ltd.",2020-04-16,"Team Tankers International Ltd. : Annual Report 2019","Q4"
"607","TEAM","Team Tankers International Ltd.",2020-05-11,"Team Tankers International Ltd. : 1st Quarter 2020 Results","Q1"
"608","TEAM","Team Tankers International Ltd.",2020-08-26,"Team Tankers International Ltd. : 2nd Quarter 2020 Results","Q2"
"609","TECH","Techstep ASA",2020-02-13,"Techstep ASA: Resultater fjerde kvartal og helåret 2019","Q4"
"610","TECH","Techstep ASA",2020-05-07,"Techstep ASA: Q1 2020 results","Q1"
"611","TECH","Techstep ASA",2020-08-21,"Techstep ASA: Q2 and H1 2020 results","Q2"
"612","TEL","Telenor ASA",2020-01-29,"Telenor rapporterer resultater for fjerde kvartal 2019","Q4"
"613","TEL","Telenor ASA",2020-04-28,"Telenor rapporterer resultater for første kvartal 2020","Q1"
"614","TEL","Telenor ASA",2020-07-16,"Telenor rapporterer resultater for andre kvartal 2020","Q2"
"615","TGS","TGS-NOPEC Geophysical Company ASA",2020-02-12,"TGS announces strong cash flow and 39% dividend growth","Q4"
"616","TGS","TGS-NOPEC Geophysical Company ASA",2020-05-13,"TGS Announces Q1 2020 Results","Q1"
"617","THIN","Thin Film Electronics ASA",2020-05-12,"THIN - Annual Report and Financial Statements 2019","Q4"
"618","THIN","Thin Film Electronics ASA",2020-08-20,"Thin Film Electronics ASA - Financial Report - Second Quarter 2020","Q2"
"619","TIETOO","TietoEVRY Oyj",2020-02-14,"TietoEVRY's Interim Report 4/2019: Strong fourth-quarter performance - integration of TietoEVRY progressing well","Q4"
"620","TIETOO","TietoEVRY Oyj",2020-04-28,"TietoEVRY's Interim Report 1/2020: Solid performance - integration on schedule","Q1"
"621","TIETOO","TietoEVRY Oyj",2020-07-24,"TietoEVRY's Interim Report 2/2020: Strong operational performance - synergy target increased and dividend pay-out decided","Q2"
"622","TOM","Tomra Systems ASA",2020-02-20,"TOMRA: 4Q 2019 results - Good development backed by solid growth drivers","Q4"
"623","TOM","Tomra Systems ASA",2020-05-05,"TOMRA: 1Q 2020 - On solid ground to navigate through the turmoil","Q1"
"624","TOM","Tomra Systems ASA",2020-07-17,"TOMRA: 2Q 2020 - A resilient quarter amid the pandemic","Q2"
"625","TOTG","Totens Sparebank",2020-02-11,"DELÅRSREGNSKAP 4. KVARTAL / FORELØPIG ÅRSREGNSKAP 2019","Q4"
"626","TOTG","Totens Sparebank",2020-04-28,"DELÅRSREGNSKAP 1. KVARTAL 2020","Q1"
"627","TOTG","Totens Sparebank",2020-08-13,"DELÅRSREGNSKAP 1. HALVÅR 2020","Q2"
"628","TRE","Treasure ASA",2020-02-10,"Treasure ASA: Annual report 2019","Q4"
"629","TRE","Treasure ASA",2020-08-17,"Treasure ASA: First half 2020","Q2"
"630","TRVX","Targovax ASA",2020-03-11,"Targovax ASA: Annual Report 2019","Q4"
"631","TRVX","Targovax ASA",2020-05-07,"Targovax ASA: First quarter 2020 results","Q1"
"632","TRVX","Targovax ASA",2020-08-20,"Targovax ASA: second quarter and first half 2020 results","Q2"
"633","TYSBME","Tysnes Sparebank",2020-04-02,"Førebels årsrapport 2019","Q4"
"634","TYSBME","Tysnes Sparebank",2020-05-18,"Resultat 1. kvartal 2020 for Tysnes Sparebank","Q1"
"635","TYSBME","Tysnes Sparebank",2020-08-13,"Resultat 2. kvartal 2020 for Tysnes Sparebank","Q2"
"636","ULTIMO","Ultimovacs ASA",2020-02-14,"Ultimovacs ASA: Fourth quarter 2019 result presentation","Q4"
"637","ULTIMO","Ultimovacs ASA",2020-05-14,"Ultimovacs ASA: First quarter 2020 result presentation","Q1"
"638","ULTIMO","Ultimovacs ASA",2020-08-21,"Ultimovacs ASA: Second quarter 2020 result presentation","Q2"
"639","VEI","Veidekke ASA",2020-02-11,"Veidekke ASA: Resultat for fjerde kvartal 2019","Q4"
"640","VEI","Veidekke ASA",2020-05-07,"Veidekke ASA: Q1 2020 results","Q1"
"641","VEI","Veidekke ASA",2020-08-13,"Veidekke ASA: Resultat for andre kvartal 2020","Q2"
"642","VISTIN","Vistin Pharma ASA",2020-02-28,"Vistin Pharma ASA: Fourth quarter 2019 financial results","Q4"
"643","VISTIN","Vistin Pharma ASA",2020-04-23,"Vistin Pharma ASA: First quarter 2020 financial results","Q1"
"644","VISTIN","Vistin Pharma ASA",2020-08-28,"Vistin Pharma ASA: Second quarter and first half 2020 financial results","Q2"
"645","VOW","Vow ASA",2020-02-26,"Vow ASA : 2H 2019 report - Order Backlog climbed to NOK 890 million","Q4"
"646","VOW","Vow ASA",2020-04-28,"Vow ASA : Vow delivers strong first quarter, maintains positive outlook as projects continue largely unaffected by pandemic","Q1"
"647","VOW","Vow ASA",2020-08-26,"Vow ASA : First half 2020: Revenues, profits and backlog at record highs","Q2"
"648","VVL","Voss Veksel- og Landmandsbank ASA",2020-01-29,"DELÅRSRAPPORT 4. KVARTAL 2019","Q4"
"649","VVL","Voss Veksel- og Landmandsbank ASA",2020-04-29,"DELÅRSRAPPORT 1. KVARTAL 2020","Q1"
"650","VVL","Voss Veksel- og Landmandsbank ASA",2020-08-12,"DELÅRSRAPPORT 2. KVATAL 2020","Q2"
"651","WALWIL","Wallenius Wilhelmsen ASA",2020-02-11,"Wallenius Wilhelmsen ASA: Results for Q4 2019","Q4"
"652","WALWIL","Wallenius Wilhelmsen ASA",2020-05-14,"Wallenius Wilhelmsen: Results for Q1 2020","Q1"
"653","WALWIL","Wallenius Wilhelmsen ASA",2020-08-18,"Wallenius Wilhelmsen: Results for Q2 2020","Q2"
"654","WILS","Wilson ASA",2020-02-19,"Wilson ASA: Endelig årsregnskap 2019","Q4"
"655","WILS","Wilson ASA",2020-05-07,"Wilson ASA: Kvartalsrapport 1Q 2020","Q1"
"656","WILS","Wilson ASA",2020-08-07,"Wilson ASA: Kvartalsrapport 2Q 2020","Q2"
"657","WSTEP","Webstep ASA",2020-02-12,"Webstep Q4 2019: Increased capacity and revenue growth","Q4"
"658","WSTEP","Webstep ASA",2020-05-27,"Webstep ASA: First Quarter Results 2020","Q1"
"659","WSTEP","Webstep ASA",2020-08-26,"Webstep ASA: Second quarter results 2020","Q2"
"660","WWI","Wilh. Wilhelmsen Holding ASA",2020-02-13,"Wilh. Wilhelmsen Holding ASA: Fourth quarter 2019 results","Q4"
"661","WWI","Wilh. Wilhelmsen Holding ASA",2020-05-15,"Wilh. Wilhelmsen Holding ASA: First quarter 2020 results","Q1"
"662","WWI","Wilh. Wilhelmsen Holding ASA",2020-08-19,"Wilh. Wilhelmsen Holding ASA: Second quarter and first half 2020 results","Q2"
"663","XXL","XXL ASA",2020-02-07,"XXL ASA <U+0096> Challenging retail environment and disappointing results","Q4"
"664","XXL","XXL ASA",2020-04-29,"XXL ASA <U+0096> Extraordinary quarter focused on preparing for a new normal","Q1"
"665","XXL","XXL ASA",2020-07-16,"XXL ASA <U+0096> Back on track <U+0096> in position for further improvements","Q2"
"666","YAR","Yara International ASA",2020-02-07,"Yara leverer høyere kommersielle marginer, kontantstrøm og bunnlinje","Q4"
"667","YAR","Yara International ASA",2020-04-23,"Yara med høyere leveranser og økt driftsresultat","Q1"
"668","YAR","Yara International ASA",2020-07-17,"Yara leverer økte marginer og lavere faste kostnader","Q2"
"669","ZAL","Zalaris ASA",2020-02-28,"19th year of uninterrupted growth and all-time high Q4 revenues","Q4"
"670","ZAL","Zalaris ASA",2020-05-08,"Increased revenue and EBIT in the first quarter","Q1"
"671","ZAL","Zalaris ASA",2020-08-18,"Increased revenue and EBIT in the second quarter","Q2"
"672","ZENAME","Zenith Energy Ltd",2020-02-14,"Filing of Quarterly Results","Q4"
